add-m,4,100000,800000,138121625,172,0
add-yield-m,4,100000,800000,630565587,788,0
add-s,4,100000,800000,132771432,165,0
add-yield-s,4,100000,800000,572964316,716,0
add-c,4,100000,800000,68476483,85,0
add-yield-c,4,100000,800000,320988188,401,0
add-none,8,1,16,196677,12292,0
add-yield-none,8,1,16,211493,13218,0
add-m,8,1,16,221418,13838,0
add-yield-m,8,1,16,207026,12939,0
add-s,8,1,16,268983,16811,0
add-yield-s,8,1,16,234330,14645,0
add-c,8,1,16,242540,15158,0
add-yield-c,8,1,16,207345,12959,0
add-none,8,10,160,214229,1338,0
add-yield-none,8,10,160,229979,1437,15
add-m,8,10,160,214091,1338,0
add-yield-m,8,10,160,242692,1516,0
add-s,8,10,160,178173,1113,0
add-yield-s,8,10,160,208377,1302,0
add-c,8,10,160,227400,1421,0
add-yield-c,8,10,160,199115,1244,0
add-none,8,100,1600,251680,157,-19
add-yield-none,8,100,1600,378022,236,2
add-m,8,100,1600,330439,206,0
add-yield-m,8,100,1600,2036450,1272,0
add-s,8,100,1600,215127,134,0
add-yield-s,8,100,1600,1848815,1155,0
add-c,8,100,1600,199531,124,0
add-yield-c,8,100,1600,861418,538,0
add-none,8,1000,16000,386775,24,881
add-yield-none,8,1000,16000,1823633,113,199
add-m,8,1000,16000,2513981,157,0
add-yield-m,8,1000,16000,18442619,1152,0
add-s,8,1000,16000,3972239,248,0
add-yield-s,8,1000,16000,17405281,1087,0
add-c,8,1000,16000,1692556,105,0
add-yield-c,8,1000,16000,8380521,523,0
add-none,8,10000,160000,2743172,17,-3666
add-yield-none,8,10000,160000,16437954,102,-9
add-m,8,10000,160000,27674574,172,0
add-yield-m,8,10000,160000,158177479,988,0
add-s,8,10000,160000,53557457,334,0
add-yield-s,8,10000,160000,164755612,1029,0
add-c,8,10000,160000,15846440,99,0
add-yield-c,8,10000,160000,80936391,505,0
add-none,8,100000,1600000,25872759,16,-32787
add-yield-none,8,100000,1600000,158896535,99,-2643
add-m,8,100000,1600000,237423737,148,0
add-yield-m,8,100000,1600000,1623740118,1014,0
add-s,8,100000,1600000,532404874,332,0
add-yield-s,8,100000,1600000,1732046296,1082,0
add-c,8,100000,1600000,166388243,103,0
add-yield-c,8,100000,1600000,864577219,540,0
add-none,12,1,24,332063,13835,0
add-yield-none,12,1,24,354179,14757,0
add-m,12,1,24,371939,15497,0
add-yield-m,12,1,24,287934,11997,0
add-s,12,1,24,275044,11460,0
add-yield-s,12,1,24,319998,13333,0
add-c,12,1,24,372737,15530,0
add-yield-c,12,1,24,318558,13273,0
add-none,12,10,240,343713,1432,0
add-yield-none,12,10,240,280260,1167,0
add-m,12,10,240,278744,1161,0
add-yield-m,12,10,240,290690,1211,0
add-s,12,10,240,359537,1498,0
add-yield-s,12,10,240,296531,1235,0
add-c,12,10,240,243346,1013,0
add-yield-c,12,10,240,319238,1330,0
add-none,12,100,2400,315372,131,100
add-yield-none,12,100,2400,413217,172,186
add-m,12,100,2400,347159,144,0
add-yield-m,12,100,2400,2694609,1122,0
add-s,12,100,2400,334641,139,0
add-yield-s,12,100,2400,3563638,1484,0
add-c,12,100,2400,324937,135,0
add-yield-c,12,100,2400,1257512,523,0
add-none,12,1000,24000,493618,20,-337
add-yield-none,12,1000,24000,2432254,101,-205
add-m,12,1000,24000,3697646,154,0
add-yield-m,12,1000,24000,26798974,1116,0
add-s,12,1000,24000,10061049,419,0
add-yield-s,12,1000,24000,33624241,1401,0
add-c,12,1000,24000,2443234,101,0
add-yield-c,12,1000,24000,13948256,581,0
add-none,12,10000,240000,3898634,16,-932
add-yield-none,12,10000,240000,24093809,100,-1586
add-m,12,10000,240000,33442926,139,0
add-yield-m,12,10000,240000,230033948,958,0
add-s,12,10000,240000,116597431,485,0
add-yield-s,12,10000,240000,334045836,1391,0
add-c,12,10000,240000,23541260,98,0
add-yield-c,12,10000,240000,135562778,564,0
add-none,12,100000,2400000,38121271,15,-18264
add-yield-none,12,100000,2400000,230071215,95,-8274
add-m,12,100000,2400000,330993968,137,0
add-yield-m,12,100000,2400000,2270637780,946,0
add-s,12,100000,2400000,1190427923,496,0
add-yield-s,12,100000,2400000,3644871699,1518,0
add-c,12,100000,2400000,264664063,110,0
add-yield-c,12,100000,2400000,1303719638,543,0
