list-id-none,1,1,4,3,139284,46428,0
list-id-none,1,2,4,6,89961,14993,0
list-id-none,1,4,4,12,96415,8034,0
list-id-none,1,8,4,24,69064,2877,0
list-id-none,1,16,4,48,106466,2218,0
list-id-none,4,1,4,12,135380,11281,0
list-id-none,4,8,4,96,159928,1665,0
list-id-none,8,2,4,48,261913,5456,0
list-id-none,16,2,4,96,417302,4346,0
list-id-m,1,10,4,30,147913,4930,693
list-id-s,1,10,4,30,95953,3198,609
list-id-m,1,20,4,60,122697,2044,83
list-id-s,1,20,4,60,104990,1749,58
list-id-m,1,40,4,120,153541,1279,233
list-id-s,1,40,4,120,95760,798,54
list-id-m,1,80,4,240,223248,930,62
list-id-s,1,80,4,240,169363,705,53
list-id-m,4,10,4,120,187493,1562,20
list-id-s,4,10,4,120,136719,1139,195
list-id-m,4,20,4,240,335183,1396,616
list-id-s,4,20,4,240,206797,861,523
list-id-m,4,40,4,480,689683,1436,965
list-id-s,4,40,4,480,411201,856,614
list-id-m,4,80,4,960,1763339,1836,1810
list-id-s,4,80,4,960,848821,884,701
list-id-m,8,10,4,240,434605,1810,927
list-id-s,8,10,4,240,259616,1081,345
list-id-m,8,20,4,480,872853,1818,1343
list-id-s,8,20,4,480,524695,1093,670
list-id-m,8,40,4,960,1711881,1783,1618
list-id-s,8,40,4,960,1798899,1873,1877
list-id-m,8,80,4,1920,4570038,2380,2755
list-id-s,8,80,4,1920,4890512,2547,2612
list-id-m,12,10,4,360,734713,2040,1099
list-id-s,12,10,4,360,466114,1294,586
list-id-m,12,20,4,720,1382045,1919,1766
list-id-s,12,20,4,720,1189356,1651,1382
list-id-m,12,40,4,1440,2978141,2068,2039
list-id-s,12,40,4,1440,3413154,2370,2666
list-id-m,12,80,4,2880,8293380,2879,3334
list-id-s,12,80,4,2880,6641432,2306,1996
list-id-m,16,10,4,480,1141254,2377,1309
list-id-s,16,10,4,480,671448,1398,713
list-id-m,16,20,4,960,1930946,2011,1764
list-id-s,16,20,4,960,1782298,1856,1659
list-id-m,16,40,4,1920,4357862,2269,2406
list-id-s,16,40,4,1920,4919519,2562,2590
list-id-m,16,80,4,3840,11935287,3108,3621
list-id-s,16,80,4,3840,12270926,3195,2941
list-none-m,1,1000,1,3000,4094017,1364,55
list-none-s,1,1000,1,3000,3996831,1332,49
list-none-m,1,1000,4,3000,4000522,1333,53
list-none-s,1,1000,4,3000,3944858,1314,49
list-none-m,1,1000,8,3000,3970289,1323,53
list-none-s,1,1000,8,3000,3980359,1326,49
list-none-m,1,1000,16,3000,3921322,1307,53
list-none-s,1,1000,16,3000,3927127,1309,49
list-none-m,2,1000,1,6000,24703317,4117,3094
list-none-s,2,1000,1,6000,12465559,2077,1124
list-none-m,2,1000,4,6000,24318883,4053,3043
list-none-s,2,1000,4,6000,11836493,1972,1034
list-none-m,2,1000,8,6000,24272426,4045,3003
list-none-s,2,1000,8,6000,13710971,2285,1267
list-none-m,2,1000,16,6000,25688737,4281,3187
list-none-s,2,1000,16,6000,11448093,1908,979
list-none-m,4,1000,1,12000,88372938,7364,8029
list-none-s,4,1000,1,12000,78660780,6555,7122
list-none-m,4,1000,4,12000,85581419,7131,7617
list-none-s,4,1000,4,12000,59586310,4965,4930
list-none-m,4,1000,8,12000,99869279,8322,9079
list-none-s,4,1000,8,12000,107384308,8948,9930
list-none-m,4,1000,16,12000,87708629,7309,7627
list-none-s,4,1000,16,12000,104098229,8674,9593
list-none-m,8,1000,1,24000,423403757,17641,5736
list-none-s,8,1000,1,24000,535088917,22295,28869
list-none-m,8,1000,4,24000,393756014,16406,-5106
list-none-s,8,1000,4,24000,537207466,22383,29126
list-none-m,8,1000,8,24000,419788395,17491,11670
list-none-s,8,1000,8,24000,192969479,8040,7952
list-none-m,8,1000,16,24000,467035438,19459,23397
list-none-s,8,1000,16,24000,201582741,8399,7816
list-none-m,12,1000,1,36000,957187957,26588,32710
list-none-s,12,1000,1,36000,1128177750,31338,16744
list-none-m,12,1000,4,36000,1167131949,32420,10952
list-none-s,12,1000,4,36000,582321195,16175,14727
list-none-m,12,1000,8,36000,1302691062,36185,18921
list-none-s,12,1000,8,36000,813389458,22594,23295
list-none-m,12,1000,16,36000,1100490908,30569,27200
list-none-s,12,1000,16,36000,620168694,17226,15806
